Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
481.15	4.6679	16.447	0.060801	17.010	17.293	41.376	107.01	186.47	405.16	0.83432	75.412	0.16625	0.0034985	1.9654	0.50880	33.221	35.596	79.415	125.75	287.01	266.01	13.895	15.598	0.055998
481.71	4.7158	16.394	0.060997	17.103	17.391	41.572	107.19	188.04	401.71	0.85472	74.899	0.16616	0.0034293	1.9935	0.50163	33.201	35.566	79.303	125.56	291.19	265.11	13.892	15.651	0.056517
482.27	4.7641	16.341	0.061196	17.198	17.489	41.770	107.37	189.66	398.23	0.87579	74.385	0.16606	0.0033603	2.0223	0.49448	33.178	35.534	79.186	125.41	295.75	264.22	13.888	15.705	0.057058
482.83	4.8128	16.287	0.061400	17.293	17.588	41.968	107.55	191.35	394.71	0.89759	73.872	0.16597	0.0032912	2.0519	0.48735	33.154	35.500	79.066	125.27	300.68	263.32	13.883	15.761	0.057622
483.39	4.8619	16.232	0.061607	17.388	17.687	42.168	107.74	193.11	391.16	0.92015	73.359	0.16588	0.0032223	2.0824	0.48022	33.129	35.463	78.941	125.16	306.01	262.43	13.875	15.818	0.058211
483.96	4.9114	16.176	0.061819	17.484	17.787	42.368	107.92	194.94	387.57	0.94351	72.845	0.16578	0.0031534	2.1136	0.47312	33.101	35.425	78.812	125.08	311.71	261.56	13.863	15.878	0.058825
484.52	4.9614	16.120	0.062035	17.580	17.888	42.570	108.12	196.84	383.95	0.96772	72.332	0.16569	0.0030846	2.1458	0.46602	33.071	35.383	78.679	125.02	317.77	260.70	13.845	15.940	0.059464
485.08	5.0119	16.063	0.062255	17.677	17.989	42.772	108.31	198.84	380.29	0.99281	71.818	0.16560	0.0030158	2.1789	0.45895	33.040	35.340	78.541	124.99	324.15	259.87	13.819	16.004	0.060128
485.64	5.0627	16.005	0.062481	17.775	18.091	42.976	108.51	200.92	376.59	1.0188	71.304	0.16551	0.0029472	2.2129	0.45189	33.006	35.294	78.398	124.98	330.79	259.06	13.785	16.070	0.060816
486.20	5.1140	15.946	0.062711	17.873	18.194	43.181	108.71	203.09	372.86	1.0459	70.789	0.16541	0.0028786	2.2479	0.44486	32.971	35.246	78.251	125.00	337.63	258.30	13.741	16.138	0.061525
486.76	5.1658	15.887	0.062946	17.973	18.298	43.387	108.91	205.37	369.08	1.0739	70.274	0.16532	0.0028101	2.2838	0.43786	32.933	35.195	78.100	125.04	344.56	257.57	13.686	16.210	0.062253
487.33	5.2180	15.826	0.063187	18.072	18.402	43.594	109.12	207.76	365.27	1.1031	69.758	0.16523	0.0027418	2.3207	0.43091	32.894	35.142	77.945	125.10	351.47	256.88	13.618	16.283	0.062995
487.89	5.2707	15.764	0.063434	18.173	18.507	43.803	109.33	210.27	361.41	1.1335	69.241	0.16514	0.0026735	2.3585	0.42400	32.853	35.088	77.787	125.17	358.24	256.23	13.537	16.360	0.063747
488.45	5.3239	15.702	0.063686	18.274	18.613	44.013	109.55	212.90	357.51	1.1650	68.722	0.16505	0.0026054	2.3972	0.41716	32.810	35.031	77.626	125.26	364.76	255.62	13.444	16.439	0.064504
489.01	5.3776	15.638	0.063945	18.376	18.720	44.224	109.77	215.68	353.57	1.1979	68.203	0.16496	0.0025374	2.4367	0.41039	32.767	34.974	77.463	125.36	370.91	255.04	13.339	16.521	0.065262
489.57	5.4317	15.574	0.064211	18.479	18.827	44.437	109.99	218.60	349.58	1.2322	67.682	0.16487	0.0024695	2.4771	0.40370	32.722	34.915	77.297	125.47	376.61	254.49	13.223	16.605	0.066017
490.13	5.4863	15.508	0.064483	18.582	18.936	44.652	110.22	221.67	345.56	1.2678	67.159	0.16478	0.0024017	2.5182	0.39711	32.677	34.855	77.131	125.57	381.82	253.95	13.099	16.693	0.066767
490.70	5.5414	15.441	0.064763	18.687	19.046	44.868	110.46	224.92	341.49	1.3051	66.634	0.16469	0.0023342	2.5600	0.39063	32.631	34.795	76.965	125.67	386.57	253.41	12.968	16.783	0.067512
491.26	5.5969	15.373	0.065051	18.792	19.156	45.086	110.70	228.36	337.37	1.3439	66.108	0.16460	0.0022667	2.6025	0.38425	32.584	34.735	76.798	125.77	390.93	252.86	12.835	16.876	0.068255
491.82	5.6530	15.303	0.065347	18.898	19.268	45.306	110.95	231.99	333.22	1.3845	65.578	0.16452	0.0021995	2.6457	0.37798	32.538	34.674	76.631	125.85	395.02	252.26	12.703	16.972	0.069001
492.38	5.7095	15.232	0.065651	19.006	19.381	45.527	111.20	235.84	329.02	1.4268	65.047	0.16443	0.0021324	2.6895	0.37182	32.491	34.614	76.465	125.92	399.04	251.61	12.573	17.070	0.069757
492.94	5.7665	15.160	0.065965	19.114	19.495	45.751	111.47	239.93	324.78	1.4710	64.512	0.16435	0.0020655	2.7341	0.36576	32.444	34.553	76.299	125.98	403.21	250.89	12.451	17.172	0.070535
493.50	5.8239	15.086	0.066289	19.224	19.610	45.977	111.74	244.26	320.51	1.5172	63.975	0.16427	0.0019988	2.7794	0.35979	32.397	34.492	76.133	126.03	407.81	250.09	12.338	17.277	0.071344
494.07	5.8819	15.010	0.066623	19.334	19.726	46.205	112.01	248.86	316.19	1.5655	63.434	0.16419	0.0019323	2.8257	0.35390	32.349	34.430	75.966	126.06	413.12	249.19	12.237	17.386	0.072201
494.63	5.9403	14.933	0.066968	19.446	19.844	46.435	112.30	253.75	311.85	1.6159	62.890	0.16411	0.0018661	2.8730	0.34807	32.300	34.368	75.798	126.08	419.49	248.19	12.149	17.498	0.073120
