Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
99.126	0.23587	34.236	0.029209	-3.7820	-3.7751	99.302	28.726	55.457	829.63	-0.27286	155.74	0.13784	0.010947	0.30416	3.2878	1.9649	2.7404	165.03	21.575	32.034	183.57	20.002	7.6581	0.0092238
99.293	0.23926	34.208	0.029233	-3.7727	-3.7657	99.395	28.708	55.484	828.21	-0.27195	155.12	0.13760	0.010906	0.30821	3.2446	1.9672	2.7435	164.95	21.580	32.066	183.66	19.954	7.6715	0.0092452
99.460	0.24268	34.181	0.029256	-3.7635	-3.7564	99.487	28.691	55.510	826.79	-0.27104	154.51	0.13736	0.010866	0.31229	3.2021	1.9696	2.7467	164.87	21.586	32.098	183.76	19.906	7.6848	0.0092666
99.627	0.24614	34.153	0.029280	-3.7543	-3.7471	99.580	28.674	55.537	825.37	-0.27012	153.90	0.13711	0.010826	0.31642	3.1603	1.9720	2.7499	164.79	21.591	32.130	183.85	19.858	7.6982	0.0092880
99.794	0.24964	34.126	0.029303	-3.7451	-3.7378	99.673	28.657	55.565	823.95	-0.26919	153.30	0.13687	0.010785	0.32059	3.1192	1.9743	2.7530	164.71	21.597	32.163	183.94	19.811	7.7116	0.0093096
99.961	0.25318	34.098	0.029327	-3.7359	-3.7284	99.765	28.640	55.592	822.52	-0.26825	152.69	0.13662	0.010745	0.32480	3.0788	1.9767	2.7561	164.64	21.604	32.196	184.03	19.764	7.7250	0.0093312
100.13	0.25675	34.070	0.029351	-3.7266	-3.7191	99.857	28.623	55.620	821.10	-0.26731	152.10	0.13638	0.010705	0.32905	3.0390	1.9790	2.7592	164.56	21.610	32.230	184.13	19.717	7.7383	0.0093528
100.30	0.26036	34.043	0.029375	-3.7174	-3.7097	99.950	28.606	55.648	819.67	-0.26636	151.50	0.13613	0.010665	0.33335	2.9999	1.9813	2.7623	164.48	21.617	32.265	184.22	19.671	7.7517	0.0093745
100.46	0.26401	34.015	0.029399	-3.7082	-3.7004	100.04	28.589	55.676	818.25	-0.26541	150.91	0.13589	0.010624	0.33768	2.9613	1.9836	2.7654	164.40	21.624	32.300	184.30	19.625	7.7651	0.0093962
100.63	0.26769	33.987	0.029423	-3.6989	-3.6910	100.13	28.572	55.705	816.82	-0.26444	150.32	0.13564	0.010584	0.34206	2.9234	1.9859	2.7685	164.32	21.631	32.335	184.39	19.579	7.7785	0.0094180
