Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
87.786	0.19342	27.335	0.036583	0.36610	0.37318	4.3678	30.835	60.861	806.05	-0.27970	133.98	0.12903	0.0082192	0.28351	3.5272	5.4528	6.1350	70.003	22.375	33.315	183.55	24.454	5.9759	0.0077501
87.893	0.19545	27.318	0.036607	0.37262	0.37977	4.4420	30.816	60.880	804.96	-0.27882	133.51	0.12883	0.0081967	0.28629	3.4929	5.4542	6.1369	69.943	22.386	33.349	183.61	24.399	5.9847	0.0077630
88.001	0.19750	27.300	0.036630	0.37914	0.38637	4.5162	30.797	60.899	803.87	-0.27792	133.04	0.12863	0.0081741	0.28909	3.4591	5.4557	6.1388	69.884	22.397	33.383	183.67	24.345	5.9935	0.0077759
88.109	0.19957	27.282	0.036654	0.38566	0.39298	4.5904	30.779	60.918	802.78	-0.27703	132.58	0.12844	0.0081515	0.29192	3.4256	5.4571	6.1408	69.825	22.408	33.418	183.72	24.291	6.0023	0.0077888
88.217	0.20166	27.264	0.036678	0.39219	0.39958	4.6644	30.761	60.937	801.70	-0.27613	132.11	0.12824	0.0081290	0.29476	3.3926	5.4585	6.1427	69.766	22.420	33.452	183.78	24.237	6.0111	0.0078018
88.325	0.20376	27.246	0.036702	0.39871	0.40619	4.7384	30.742	60.957	800.61	-0.27522	131.65	0.12804	0.0081065	0.29762	3.3600	5.4600	6.1446	69.708	22.431	33.487	183.83	24.183	6.0199	0.0078148
88.433	0.20587	27.229	0.036726	0.40524	0.41280	4.8123	30.724	60.977	799.51	-0.27430	131.20	0.12785	0.0080839	0.30051	3.3277	5.4614	6.1465	69.649	22.442	33.522	183.89	24.130	6.0288	0.0078278
88.540	0.20801	27.211	0.036750	0.41177	0.41941	4.8862	30.706	60.997	798.42	-0.27338	130.74	0.12765	0.0080614	0.30341	3.2958	5.4628	6.1484	69.591	22.453	33.557	183.94	24.076	6.0376	0.0078408
88.648	0.21015	27.193	0.036774	0.41830	0.42603	4.9599	30.687	61.017	797.33	-0.27246	130.29	0.12745	0.0080389	0.30634	3.2644	5.4642	6.1503	69.532	22.465	33.593	184.00	24.023	6.0465	0.0078539
88.756	0.21232	27.175	0.036799	0.42483	0.43264	5.0336	30.669	61.038	796.24	-0.27153	129.84	0.12726	0.0080164	0.30929	3.2332	5.4657	6.1521	69.474	22.476	33.628	184.05	23.971	6.0553	0.0078670
88.864	0.21450	27.157	0.036823	0.43136	0.43926	5.1072	30.651	61.059	795.15	-0.27059	129.39	0.12706	0.0079939	0.31226	3.2025	5.4671	6.1540	69.416	22.488	33.664	184.11	23.918	6.0642	0.0078802
88.972	0.21670	27.139	0.036847	0.43790	0.44588	5.1808	30.633	61.080	794.05	-0.26964	128.95	0.12687	0.0079714	0.31525	3.1721	5.4685	6.1559	69.358	22.499	33.701	184.16	23.866	6.0731	0.0078933
89.080	0.21892	27.121	0.036872	0.44444	0.45251	5.2543	30.615	61.101	792.96	-0.26870	128.50	0.12667	0.0079489	0.31826	3.1421	5.4699	6.1577	69.301	22.511	33.737	184.22	23.813	6.0820	0.0079065
89.187	0.22115	27.103	0.036896	0.45097	0.45913	5.3277	30.597	61.122	791.87	-0.26774	128.06	0.12647	0.0079265	0.32129	3.1124	5.4713	6.1596	69.243	22.522	33.773	184.27	23.761	6.0909	0.0079198
89.295	0.22340	27.085	0.036921	0.45752	0.46576	5.4011	30.579	61.144	790.77	-0.26678	127.62	0.12628	0.0079040	0.32435	3.0831	5.4726	6.1614	69.185	22.534	33.810	184.32	23.710	6.0998	0.0079330
89.403	0.22567	27.067	0.036945	0.46406	0.47239	5.4743	30.561	61.166	789.67	-0.26581	127.19	0.12608	0.0078815	0.32743	3.0541	5.4740	6.1632	69.128	22.546	33.847	184.37	23.658	6.1087	0.0079463
89.511	0.22795	27.049	0.036970	0.47060	0.47903	5.5476	30.543	61.188	788.58	-0.26484	126.75	0.12588	0.0078591	0.33053	3.0255	5.4754	6.1651	69.071	22.557	33.885	184.42	23.607	6.1177	0.0079596
89.619	0.23025	27.031	0.036994	0.47715	0.48567	5.6207	30.526	61.210	787.48	-0.26386	126.32	0.12569	0.0078367	0.33365	2.9972	5.4768	6.1669	69.014	22.569	33.922	184.48	23.556	6.1266	0.0079730
89.727	0.23257	27.013	0.037019	0.48369	0.49230	5.6938	30.508	61.233	786.38	-0.26287	125.89	0.12549	0.0078142	0.33679	2.9692	5.4782	6.1687	68.957	22.581	33.960	184.53	23.505	6.1356	0.0079864
89.834	0.23490	26.995	0.037044	0.49024	0.49895	5.7668	30.490	61.255	785.29	-0.26188	125.46	0.12530	0.0077918	0.33996	2.9415	5.4795	6.1705	68.900	22.593	33.998	184.58	23.454	6.1446	0.0079998
89.942	0.23726	26.977	0.037069	0.49680	0.50559	5.8397	30.473	61.278	784.19	-0.26088	125.04	0.12510	0.0077694	0.34315	2.9142	5.4809	6.1723	68.843	22.605	34.036	184.63	23.404	6.1535	0.0080132
