Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
229.14	0.86408	25.721	0.038878	4.5808	4.6144	27.785	42.150	87.724	885.31	-0.091395	205.72	0.16163	0.013586	0.51210	1.9528	17.430	19.117	91.078	29.363	43.925	223.58	22.508	11.531	0.012320
229.28	0.86892	25.709	0.038897	4.5934	4.6272	27.840	42.142	87.751	884.26	-0.090658	205.23	0.16145	0.013553	0.51489	1.9422	17.431	19.119	91.044	29.384	43.979	223.58	22.471	11.538	0.012335
229.43	0.87377	25.696	0.038917	4.6061	4.6401	27.895	42.134	87.778	883.20	-0.089917	204.74	0.16127	0.013520	0.51770	1.9316	17.433	19.120	91.010	29.405	44.032	223.58	22.433	11.546	0.012351
229.58	0.87865	25.683	0.038936	4.6187	4.6529	27.950	42.126	87.806	882.15	-0.089173	204.26	0.16109	0.013486	0.52052	1.9212	17.434	19.122	90.976	29.427	44.086	223.58	22.396	11.554	0.012366
229.72	0.88354	25.670	0.038955	4.6313	4.6658	28.005	42.118	87.833	881.10	-0.088425	203.77	0.16091	0.013453	0.52335	1.9108	17.435	19.124	90.942	29.448	44.140	223.58	22.359	11.561	0.012382
229.87	0.88846	25.658	0.038975	4.6440	4.6786	28.061	42.110	87.861	880.04	-0.087675	203.28	0.16074	0.013420	0.52620	1.9004	17.437	19.125	90.908	29.469	44.195	223.58	22.322	11.569	0.012397
230.01	0.89339	25.645	0.038994	4.6566	4.6915	28.116	42.102	87.889	878.99	-0.086921	202.80	0.16056	0.013387	0.52905	1.8902	17.438	19.127	90.874	29.490	44.249	223.57	22.285	11.577	0.012413
230.16	0.89835	25.632	0.039013	4.6693	4.7043	28.171	42.094	87.917	877.93	-0.086164	202.32	0.16038	0.013354	0.53192	1.8800	17.440	19.128	90.841	29.511	44.304	223.57	22.248	11.585	0.012428
230.31	0.90333	25.619	0.039033	4.6819	4.7172	28.226	42.086	87.945	876.88	-0.085403	201.83	0.16020	0.013321	0.53481	1.8698	17.441	19.130	90.807	29.533	44.359	223.57	22.211	11.592	0.012444
230.45	0.90832	25.607	0.039052	4.6946	4.7301	28.281	42.079	87.974	875.83	-0.084639	201.35	0.16002	0.013288	0.53770	1.8598	17.442	19.132	90.773	29.554	44.414	223.57	22.174	11.600	0.012459
