Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
144.62	0.80836	22.961	0.043552	1.9087	1.9439	14.995	30.990	62.702	984.56	-0.15806	61.818	0.13683	0.0067303	0.79261	1.2617	7.8367	8.8566	62.793	27.931	43.809	286.30	18.862	5.5840	0.017082
144.79	0.81491	22.941	0.043589	1.9188	1.9544	15.065	30.983	62.763	982.62	-0.15577	61.629	0.13659	0.0067007	0.79891	1.2517	7.8385	8.8585	62.749	27.946	43.887	286.30	18.830	5.5912	0.017119
144.96	0.82150	22.922	0.043627	1.9290	1.9649	15.136	30.976	62.824	980.68	-0.15346	61.439	0.13635	0.0066711	0.80525	1.2418	7.8402	8.8603	62.705	27.961	43.965	286.31	18.797	5.5983	0.017156
145.12	0.82813	22.902	0.043664	1.9392	1.9754	15.206	30.969	62.886	978.73	-0.15114	61.251	0.13612	0.0066416	0.81164	1.2321	7.8419	8.8622	62.661	27.975	44.043	286.31	18.765	5.6055	0.017193
145.29	0.83479	22.882	0.043702	1.9495	1.9859	15.277	30.962	62.949	976.79	-0.14880	61.063	0.13588	0.0066120	0.81806	1.2224	7.8436	8.8640	62.617	27.990	44.122	286.31	18.733	5.6127	0.017231
145.46	0.84150	22.863	0.043739	1.9597	1.9965	15.347	30.955	63.012	974.84	-0.14644	60.875	0.13564	0.0065825	0.82452	1.2128	7.8452	8.8658	62.574	28.005	44.202	286.30	18.701	5.6199	0.017268
145.62	0.84824	22.843	0.043777	1.9699	2.0070	15.418	30.948	63.075	972.89	-0.14406	60.688	0.13541	0.0065530	0.83103	1.2033	7.8469	8.8676	62.530	28.020	44.282	286.30	18.669	5.6272	0.017306
145.79	0.85502	22.823	0.043815	1.9801	2.0176	15.488	30.941	63.139	970.94	-0.14167	60.502	0.13517	0.0065235	0.83757	1.1939	7.8486	8.8694	62.486	28.035	44.364	286.30	18.637	5.6344	0.017343
145.96	0.86185	22.803	0.043853	1.9904	2.0282	15.559	30.934	63.203	968.99	-0.13927	60.316	0.13493	0.0064941	0.84416	1.1846	7.8502	8.8711	62.443	28.050	44.445	286.30	18.606	5.6417	0.017381
146.12	0.86871	22.783	0.043892	2.0006	2.0388	15.629	30.927	63.268	967.03	-0.13684	60.131	0.13470	0.0064646	0.85079	1.1754	7.8518	8.8729	62.399	28.065	44.528	286.29	18.574	5.6490	0.017419
