Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
582.9037	9.831930	38.36877	0.02606286	24.97912	25.23537	60.32552	54.84635	109.4488	854.5627	0.2850901	82.18626	0.5373242	0.01214419	3.015014	0.3316734	45.89445	49.15544	101.3616	55.67659	126.4970	473.5208	10.01235	20.12040	0.07740327
583.5269	9.915890	38.29110	0.02611573	25.04211	25.30107	60.43441	54.84019	109.8814	850.9449	0.2902178	81.95183	0.5363087	0.01200399	3.046733	0.3282204	45.87349	49.12809	101.2672	55.82038	127.5630	473.0150	9.962172	20.15731	0.07787095
584.1501	10.00040	38.21298	0.02616912	25.10526	25.36696	60.54349	54.83454	110.3222	847.3126	0.2954254	81.71731	0.5352885	0.01186396	3.078824	0.3247993	45.85222	49.10034	101.1724	55.96493	128.6490	472.5035	9.912156	20.19455	0.07834590
584.7733	10.08547	38.13439	0.02622305	25.16858	25.43305	60.65276	54.82940	110.7715	843.6657	0.3007148	81.48269	0.5342638	0.01172413	3.111294	0.3214097	45.83063	49.07220	101.0772	56.11027	129.7558	471.9861	9.862299	20.23211	0.07882833
585.3966	10.17110	38.05533	0.02627753	25.23208	25.49935	60.76223	54.82478	111.2294	840.0042	0.3060878	81.24795	0.5332344	0.01158447	3.144148	0.3180512	45.80871	49.04364	100.9816	56.25639	130.8838	471.4629	9.812597	20.27000	0.07931845
586.0198	10.25729	37.97579	0.02633256	25.29575	25.56585	60.87189	54.82070	111.6963	836.3278	0.3115465	81.01307	0.5322003	0.01144502	3.177394	0.3147233	45.78646	49.01467	100.8856	56.40332	132.0338	470.9337	9.763047	20.30824	0.07981648
586.6430	10.34404	37.89577	0.02638817	25.35960	25.63256	60.98176	54.81716	112.1725	832.6364	0.3170928	80.77803	0.5311614	0.01130575	3.211038	0.3114257	45.76388	48.98528	100.7891	56.55105	133.2063	470.3985	9.713644	20.34683	0.08032264
587.2662	10.43137	37.81526	0.02644435	25.42362	25.69948	61.09184	54.81419	112.6581	828.9299	0.3227288	80.54282	0.5301178	0.01116669	3.245088	0.3081581	45.74095	48.95546	100.6923	56.69961	134.4021	469.8571	9.664386	20.38578	0.08083716
587.8895	10.51926	37.73425	0.02650112	25.48784	25.76661	61.20214	54.81178	113.1536	825.2081	0.3284566	80.30743	0.5290693	0.01102783	3.279550	0.3049198	45.71768	48.92521	100.5949	56.84901	135.6219	469.3096	9.615270	20.42510	0.08136029
588.5127	10.60772	37.65273	0.02655850	25.55224	25.83396	61.31266	54.80996	113.6592	821.4707	0.3342785	80.07182	0.5280160	0.01088917	3.314433	0.3017107	45.69406	48.89453	100.4971	56.99926	136.8664	468.7559	9.566291	20.46479	0.08189228
589.1359	10.69677	37.57069	0.02661649	25.61683	25.90154	61.42340	54.80873	114.1752	817.7178	0.3401968	79.83599	0.5269578	0.01075073	3.349744	0.2985303	45.67009	48.86340	100.3989	57.15037	138.1364	468.1958	9.517446	20.50487	0.08243339
589.7591	10.78639	37.48813	0.02667511	25.68161	25.96934	61.53437	54.80813	114.7019	813.9490	0.3462138	79.59991	0.5258946	0.01061250	3.385490	0.2953782	45.64575	48.83182	100.3002	57.30236	139.4328	467.6294	9.468733	20.54534	0.08298388
590.3824	10.87659	37.40504	0.02673436	25.74659	26.03737	61.64558	54.80815	115.2397	810.1642	0.3523319	79.36357	0.5248264	0.01047449	3.421680	0.2922541	45.62105	48.79978	100.2009	57.45523	140.7563	467.0564	9.420146	20.58622	0.08354405
591.0056	10.96738	37.32140	0.02679428	25.81177	26.10563	61.75703	54.80881	115.7890	806.3632	0.3585538	79.12695	0.5237532	0.01033670	3.458323	0.2891575	45.59597	48.76727	100.1012	57.60901	142.1078	466.4769	9.371683	20.62751	0.08411418
591.6288	11.05876	37.23722	0.02685485	25.87715	26.17413	61.86873	54.81013	116.3502	802.5458	0.3648820	78.89002	0.5226748	0.01019914	3.495427	0.2860881	45.57052	48.73430	100.0010	57.76371	143.4883	465.8907	9.323340	20.66922	0.08469457
592.2521	11.15073	37.15247	0.02691611	25.94274	26.24287	61.98068	54.81214	116.9235	798.7118	0.3713193	78.65277	0.5215914	0.01006181	3.533000	0.2830456	45.54467	48.70084	99.90029	57.91934	144.8988	465.2978	9.275114	20.71137	0.08528554
592.8753	11.24330	37.06715	0.02697806	26.00854	26.31186	62.09290	54.81483	117.5095	794.8610	0.3778684	78.41518	0.5205028	0.009924710	3.571052	0.2800295	45.51844	48.66690	99.79903	58.07593	146.3401	464.6981	9.226999	20.75396	0.08588742
593.4985	11.33646	36.98125	0.02704073	26.07455	26.38110	62.20537	54.81824	118.1086	790.9931	0.3845323	78.17722	0.5194089	0.009787854	3.609593	0.2770395	45.49181	48.63246	99.69723	58.23347	147.8135	464.0915	9.178994	20.79701	0.08650054
